District,Incumbent,Party,"First
elected",Result,Candidates
Louisiana 3,Billy Tauzin,Republican,1980,"Incumbent retired.
New member elected.
Democratic gain."," Charlie Melancon (Democratic) 23.9% (50.25%)
Billy Tauzin III (Republican) 32.0% (49.75%)
Craig Romero (Republican) 23.1%
Damon Baldone (Democratic) 9.7%
Charmaine Caccioppi (Democratic) 7.3%
Kevin Chiasson (Republican) 3.9%"
Louisiana 4,Jim McCrery,Republican,1988,Incumbent re-elected., Jim McCrery (Republican)
Louisiana 5,Rodney Alexander,Republican,2002,"Switched parties in 2004, consequentially re-elected"," Rodney Alexander (Republican) 59.4%
Tisa Blakes (Democratic) 24.6%
Jock Scott (Republican) 16.0%"
Louisiana 6,Richard Baker,Republican,1986,Incumbent re-elected.," Richard Baker (Republican) 72.2%
Rufus Craig Jr. (Democratic) 19.4%
Scott Galmon (Democratic) 8.4%"
Louisiana 7,Chris John,Democratic,1996,"Incumbent retired to run for U.S. Senator.
Republican gain."," Charles Boustany (Republican) 38.6% (55.0%)
Willie Mount (Democratic) 25.2% (45.0%)
Don Cravins (Democratic) 24.6%
David Thibodaux (Republican) 9.7%
Malcolm Carriere (Democratic) 1.9%"
Maine 1,Tom Allen,Democratic,2002,Incumbent re-elected.," Tom Allen (Democratic) 59.7%
Charlie Summers (Republican) 40.3%"
Maine 2,Mike Michaud,Democratic,2002,Incumbent re-elected.," Mike Michaud (Democratic) 58.0%
Brian Hamel (Republican) 39.5%
Carl Cooley (Independent) 2.5%"
Maryland 1,Wayne Gilchrest,Republican,1990,Incumbent re-elected.," Wayne Gilchrest (Republican) 75.9%
Kostas Alexakis (Democratic) 24.1%"
Maryland 2,Dutch Ruppersberger,Democratic,2002,Incumbent re-elected.," Dutch Ruppersberger (Democratic) 66.7%
Jane Brooks (Republican) 30.7%
Keith Salkowski (Green) 2.6%"
Maryland 3,Ben Cardin,Democratic,1986,Incumbent re-elected.," Ben Cardin (Democratic) 63.4%
Robert Duckworth] (Republican) 33.8%
Patsy Allen (Green) 2.8%"
Maryland 4,Albert Wynn,Democratic,1992,Incumbent re-elected.," Albert Wynn (Democratic) 75.2%
John McKinnis (Republican) 20.2%
Theresa Dudley (Green) 4.6%"
Maryland 5,Steny Hoyer,Democratic,1981 (Special),Incumbent re-elected.," Steny Hoyer (Democratic) 68.7%
Brad Jewitt (Republican) 29.3%
Bob Auerbach (Green) 1.4%
Steven Krukar Constitution 0.6%"
Maryland 6,Roscoe Bartlett,Republican,1992,Incumbent re-elected.," Roscoe Bartlett (Republican) 67.5%
Kenneth Bosley (Democratic) 29.4%
Gregory Hemingway (Green) 3.1%"
Maryland 7,Elijah Cummings,Democratic,1996,Incumbent re-elected.," Elijah Cummings (Democratic) 73.4%
Tony Salazar (Republican) 24.6%
Virginia Rodino (Green) 2.0%"
Maryland 8,Chris Van Hollen,Democratic,2002,Incumbent re-elected.," Chris Van Hollen (Democratic) 74.9%
Chuck Floyd (Republican) 25.1%"
Massachusetts 1,John Olver,Democratic,1991 (Special),Incumbent re-elected., John Olver (Democratic) Unopposed
Massachusetts 2,Richard Neal,Democratic,1988,Incumbent re-elected., Richard Neal (Democratic) Unopposed
Massachusetts 3,Jim McGovern,Democratic,1996,Incumbent re-elected.," Jim McGovern (Democratic) 70.5%
Ron Crews (Republican) 29.5%"
Massachusetts 4,Barney Frank,Democratic,1980,Incumbent re-elected.," Barney Frank (Democratic) 77.9%
Chuck Morse (Independent) 22.1%"
Massachusetts 5,Marty Meehan,Democratic,1992,Incumbent re-elected.," Marty Meehan (Democratic) 67.1%
Thomas P. Tierney (Republican) 32.9%"
Massachusetts 6,John F. Tierney,Democratic,1996,Incumbent re-elected.," John F. Tierney (Democratic) 70.0%
Steve O'Malley (Republican) 30.0%"
Massachusetts 7,Ed Markey,Democratic,1976,Incumbent re-elected.," Ed Markey (Democratic) 73.6%
Kenneth Chase (Republican) 22.0%
Jim Hall (Independent) 4.4%"
Massachusetts 8,Mike Capuano,Democratic,1998,Incumbent re-elected., Mike Capuano (Democratic) Unopposed
Massachusetts 9,Stephen F. Lynch,Democratic,2001 (Special),Incumbent re-elected., Stephen F. Lynch (Democratic) Unopposed
Massachusetts 10,Bill Delahunt,Democratic,1996,Incumbent re-elected.," Bill Delahunt (Democratic) 65.9%
Mike Jones (Republican) 34.1%"
Michigan 1,Bart Stupak,Democratic,1992,Incumbent re-elected.," Bart Stupak (Democratic) 65.6%
Don Hooper (Republican) 32.7%
David J. Newland (Green) 1.0%
John W. Loosemore (Libertarian) 0.7%"
Michigan 2,Pete Hoekstra,Republican,1992,Incumbent re-elected.," Pete Hoekstra (Republican) 69.3%
Kimon Kotos (Democratic) 28.9%
Steve VanTil (Libertarian) 0.9%
Ronald E. Graeser (UST) 0.8%"
Michigan 3,Vern Ehlers,Republican,1993 (Special),Incumbent re-elected.," Vern Ehlers (Republican) 66.6%
Peter H. Hickey (Democratic) 31.5%
Warren Adams (Libertarian) 1.1%
Marcel J. Sales (UST) 0.8%"
Michigan 4,Dave Camp,Republican,1990,Incumbent re-elected.," Dave Camp (Republican) 64.3%
Mike Huckleberry (Democratic) 34.8%
Albert Chia Jr. (Libertarian) 0.9%"
Michigan 5,Dale Kildee,Democratic,1976,Incumbent re-elected.," Dale Kildee (Democratic) 67.2%
Myrah Kirkwood (Republican) 31.3%
Harley Mikkelson (Green) 0.8%
Clint Foster (Libertarian) 0.7%"
Michigan 6,Fred Upton,Republican,1986,Incumbent re-elected.," Fred Upton (Republican) 65.3%
Scott Elliott (Democratic) 32.4%
Randall MacPhee (Green) 0.8%
Erwin J. Haas (Libertarian) 0.8%
W. Dennis FitzSimons (UST) 0.7%"
Michigan 7,Nick Smith,Republican,2000,"Incumbent retired.
New member elected.
Republican hold."," Joe Schwarz (Republican) 58.4%
Sharon Marie Renier (Democratic) 36.3%
David Horn (UST) 3.0%
Jason Seagraves (Green) 1.3%
Kenneth Proctor (Libertarian) 1.0%"
Michigan 8,Mike Rogers,Republican,2000,Incumbent re-elected.," Mike Rogers (Republican) 61.1%
Robert D. Alexander (Democratic) 36.9%
Will Tyler White (Libertarian) 1.0%
John Mangopoulos (UST) 1.0%"
Michigan 9,Joe Knollenberg,Republican,1992,Incumbent re-elected.," Joe Knollenberg (Republican) 58.5%
Steven W. Reifman (Democratic) 39.5%
Robert W. Schubring (Libertarian) 2.0%"
Michigan 10,Candice Miller,Republican,2002,Incumbent re-elected.," Candice Miller (Republican) 68.6%
Rob Casey (Democratic) 29.5%
Phoebe A. Basso (Libertarian) 1.2%
Anthony America (Independent) 0.7%"
Michigan 11,Thad McCotter,Republican,2002,Incumbent re-elected.," Thad McCotter (Republican) 57.0%
Phillip S. Truran (Democratic) 41.0%
Charles L. Basso Jr. (Libertarian) 2.0%"
Michigan 12,Sander Levin,Democratic,1982,Incumbent re-elected.," Sander Levin (Democratic) 69.3%
Randell J. Shafer (Republican) 29.0%
Dick Gach (Libertarian) 1.7%"
Michigan 13,Carolyn Cheeks Kilpatrick,Democratic,1996,Incumbent re-elected.," Carolyn Cheeks Kilpatrick (Democratic) 78.2%
Cynthia Cassell (Republican) 18.5%
Thomas Levigne (Green) 1.9%
Eric Gordon (Libertarian) 1.4%"
Michigan 14,John Conyers,Democratic,1964,Incumbent re-elected.," John Conyers (Democratic) 83.9%
Veronica Pedraza (Republican) 13.8%
Michael L. Donahue (Libertarian) 0.9%
Lisa Weltman (Green) 0.9%
Wilbert Sears (UST) 0.5%"
Michigan 15,John Dingell,Democratic,1955 (Special),Incumbent re-elected.," John Dingell (Democratic) 70.9%
Dawn Anne Reamer (Republican) 26.6%
Gregory Scott Stempfle (Libertarian) 1.1%
Mike Eller (UST) 0.8%
Jerome S. White (Independent) 0.6%"
Minnesota 1,Gil Gutknecht,Republican,1994,Incumbent re-elected.," Gil Gutknecht (Republican) 59.6%
Leigh Pomeroy (Democratic) 35.5%
Gregory Mikkelson (Independence) 4.8%"
Minnesota 2,John Kline,Republican,2002,Incumbent re-elected.," John Kline (Republican) 56.4%
Teresa Daly (Democratic) 40.3%
Doug Williams (Independence) 3.2%"
Minnesota 3,Jim Ramstad,Republican,1990,Incumbent re-elected.," Jim Ramstad (Republican) 64.6%
Deborah Watts (Democratic) 35.3%"
Minnesota 4,Betty McCollum,Democratic,2000,Incumbent re-elected.," Betty McCollum (Democratic) 57.5%
Patrice Bataglia (Republican) 33.2%
Peter Vento (Independence) 9.2%"
Minnesota 5,Martin Olav Sabo,Democratic,1978,Incumbent re-elected.," Martin Olav Sabo (Democratic) 69.7%
Daniel Mathias (Republican) 24.4%
Jay Pond (Green) 5.7%"
Minnesota 6,Mark Kennedy,Republican,2000,Incumbent re-elected.," Mark Kennedy (Republican) 54.0%
Patty Wetterling (Democratic) 45.9%"
Minnesota 7,Collin Peterson,Democratic,1990,Incumbent re-elected.," Collin Peterson (Democratic) 66.1%
David Sturrock (Republican) 33.8%"
Minnesota 8,Jim Oberstar,Democratic,1974,Incumbent re-elected.," Jim Oberstar (Democratic) 65.2%
Mark Groettum (Republican) 32.2%
Van Presley (Green) 2.6%"
Mississippi 1,Roger Wicker,Republican,1994,Incumbent re-elected.," Roger Wicker (Republican) 79.0%
Barbara Dale Washer (Reform) 21.0%"
Mississippi 2,Bennie Thompson,Democratic,1993 (Special),Incumbent re-elected.," Bennie Thompson (Democratic) 58.4%
Clinton LeSueur (Republican) 40.6%
Shawn O'Hara (Reform) 1.0%"
Mississippi 3,Chip Pickering,Republican,1996,Incumbent re-elected.," Chip Pickering (Republican) 80.0%
Jim Giles (Independent) 13.8%
Lamonica L. McGee (Reform) 6.2%"
Mississippi 4,Gene Taylor,Democratic,1989 (Special),Incumbent re-elected.," Gene Taylor (Democratic) 64.2%
Mike Lott (Republican) 34.5%
Tracella Hill (Reform) 1.3%"
Missouri 1,Lacy Clay,Democratic,2000,Incumbent re-elected.," Lacy Clay (Democratic) 75.3%
Leslie L. Farr II (Republican) 22.8%
Terry Chadwick (Libertarian) 1.4%
Robert Rehbein Constitution 0.5%"
Missouri 2,Todd Akin,Republican,2000,Incumbent re-elected.," Todd Akin (Republican) 65.4%
George D. Weber (Democratic) 33.0%
Darla Maloney (Libertarian) 1.4%
David Leefe Constitution 0.3%"
Missouri 3,Dick Gephardt,Democratic,1976,"Incumbent retired.
New member elected.
Democratic hold."," Russ Carnahan (Democratic) 52.9%
Bill Federer (Republican) 45.1%
Kevin C. Babcock (Libertarian) 1.6%
William Renaud Constitution 0.4%"
Missouri 4,Ike Skelton,Democratic,1976,Incumbent re-elected.," Ike Skelton (Democratic) 66.2%
Jim Noland (Republican) 32.4%
Bill Lower (Libertarian) 1.0%
Raymond Lister Constitution 0.4%"
Missouri 5,Karen McCarthy,Democratic,1994,"Incumbent retired.
New member elected.
Democratic hold."," Emanuel Cleaver (Democratic) 55.2%
Jeanne Patterson (Republican) 42.1%
Rick Bailie (Libertarian) 2.0%
Darin Rodenberg Constitution 0.7%"
Missouri 6,Sam Graves,Republican,2000,Incumbent re-elected.," Sam Graves (Republican) 63.8%
Charles S. Broomfield (Democratic) 34.8%
Erik Buck (Libertarian) 1.4%"
Missouri 7,Roy Blunt,Republican,1996,Incumbent re-elected.," Roy Blunt (Republican) 70.4%
Jim Newberry (Democratic) 28.3%
Kevin Craig (Libertarian) 0.9%
Steve Alger Constitution 0.3%"
Missouri 8,Jo Ann Emerson,Republican,1996,Incumbent re-elected.," Jo Ann Emerson (Republican) 72.2%
Dean Henderson (Democratic) 26.6%
Stan Cuff (Libertarian) 0.7%
Leonard Davidson Constitution 0.5%"
Missouri 9,Kenny Hulshof,Republican,1996,Incumbent re-elected.," Kenny Hulshof (Republican) 64.6%
Linda Jacobsen (Democratic) 33.8%
Tamara A. Millay (Libertarian) 1.1%
Chris Earl Constitution 0.5%"
Montana at-large,Denny Rehberg,Republican,2000,Incumbent re-elected.," Denny Rehberg (Republican) 64.4%
Tracy Velazquez (Democratic) 32.8%
Mike Fellows (Libertarian) 2.8%"
Nebraska 1,Vacant,,,"Doug Bereuter (Republican) resigned August 31, 2004
Republican hold."," Jeff Fortenberry (Republican) 54.2%
Matt Connealy (Democratic) 43.0%
Steve Larrick (Green) 2.8%"
Nebraska 2,Lee Terry,Republican,1998,Incumbent re-elected.," Lee Terry (Republican) 61.1%
Nancy Thompson (Democratic) 36.1%
Jack Graziano (Libertarian) 1.9%
Dante Salvatierra (Green) 0.9%"
Nebraska 3,Tom Osborne,Republican,2000,Incumbent re-elected.," Tom Osborne (Republican) 87.5%
Donna Anderson (Democratic) 10.5%
Joseph Rosberg (Nebraska) 1.4%
Roy Guisinger (Green) 0.6%"
Nevada 1,Shelley Berkley,Democratic,1998,Incumbent re-elected.," Shelley Berkley (Democratic) 66.0%
Russ Mickelson (Republican) 31.1%
Jim Duensing (Libertarian) 2.9%"
Nevada 2,Jim Gibbons,Republican,1996,Incumbent re-elected.," Jim Gibbons (Republican) 66.5%
Angie Cochran (Democratic) 27.9%
Janine Hansen (Independent American) 3.6%
Brendan Trainor (Libertarian) 1.7%"
Nevada 3,Jon Porter,Republican,2002,Incumbent re-elected.," Jon Porter (Republican) 54.5%
Tom Gallagher (Democratic) 40.4%
Joseph Silvestri (Libertarian) 3.1%
Richard O'Dell (Independent) 2.0%"
New Hampshire 1,Jeb Bradley,Republican,2002,Incumbent re-elected.," Jeb Bradley (Republican) 63.4%
Justin Nadeau (Democratic) 36.6%"
New Hampshire 2,Charlie Bass,Republican,1994,Incumbent re-elected.," Charlie Bass (Republican) 58.3%
Paul Hodes (Democratic) 38.2%
Richard Kahn (Libertarian) 3.5%"
New Jersey 1,Rob Andrews,Democratic,1990,Incumbent re-elected.," Rob Andrews (Democratic) 75.0%
John Cusack (Republican) 24.7%
Arturo Croce (Independent) 0.3%"
New Jersey 2,Frank LoBiondo,Republican,1994,Incumbent re-elected.," Frank LoBiondo (Republican) 65.1%
Timothy Robb (Democratic) 32.7%
Willie Norwood (Independent) 0.7%
Michael J. Matthews (Libertarian) 0.7%
Jose Alcantara (Independent) 0.6%
Constantino Rozzo (S) 0.2%"
New Jersey 3,Jim Saxton,Republican,1984,Incumbent re-elected.," Jim Saxton (Republican) 63.4%
Herb Conaway (Democratic) 34.7%
R. Edward Forchion (Independent) 1.6%
Frank Orland (Libertarian) 0.3%"
New Jersey 4,Chris Smith,Republican,1980,Incumbent re-elected.," Chris Smith (Republican) 67.0%
Amy Vasquez (Democratic) 32.3%
Richard Edgar (Libertarian) 0.7%"
New Jersey 5,Scott Garrett,Republican,2002,Incumbent re-elected.," Scott Garrett (Republican) 57.6%
Dorothea Wolfe (Democratic) 41.1%
Victor Kaplan (Libertarian) 0.6%
Thomas Phelan (Conservative) 0.5%
Gregory Pason (S) 0.2%"
New Jersey 6,Frank Pallone,Democratic,1988,Incumbent re-elected.," Frank Pallone (Democratic) 66.9%
Sylvester Fernandez (Republican) 30.8%
Virginia A. Flynn (Libertarian) 1.2%
Mac Data Francis X. Lyden (Independent) 1.0%"
New Jersey 7,Mike Ferguson,Republican,2000,Incumbent re-elected.," Mike Ferguson (Republican) 56.9%
Steve Brozak (Democratic) 41.7%
Thomas D. Abrams (Libertarian) 0.7%
Matthew Angus Williams (Independent) 0.7%"
New Jersey 8,Bill Pascrell,Democratic,1996,Incumbent re-elected.," Bill Pascrell (Democratic) 69.5%
George Ajjan (Republican) 28.7%
Joseph Fortunato (Green) 1.8%"
New Jersey 9,Steve Rothman,Democratic,1996,Incumbent re-elected.," Steve Rothman (Democratic) 67.5%
Ed Trawinski (Republican) 31.7%
David Daly (Libertarian) 0.8%"
New Jersey 10,Donald M. Payne,Democratic,1988,Incumbent re-elected.," Donald M. Payne (Democratic) 96.9%
Toy-Ling Washington (Green) 1.8%
Sara J. Lobman (Independent) 1.3%"
New Jersey 11,Rodney Frelinghuysen,Republican,1994,Incumbent re-elected.," Rodney Frelinghuysen (Republican) 67.9%
James Buell (Democratic) 31.0%
John Mele (Independent) 0.6%
Austin Lett (Libertarian) 0.5%"
New Jersey 12,Rush D. Holt Jr.,Democratic,1998,Incumbent re-elected.," Rush D. Holt Jr. (Democratic) 59.3%
Bill Spadea (Republican) 39.7%
Ken Chazotte (Libertarian) 0.5%
Daryl Brooks (Green) 0.5%"
New Jersey 13,Bob Menendez,Democratic,1992,Incumbent re-elected.," Bob Menendez (Democratic) 75.8%
Richard Piatkowski (Republican) 22.1%
Dick Hester (Independent) 0.8%
Herbert H. Shaw (Independent) 0.7%
Angela Lariscy (SWP) 0.6%"
New Mexico 1,Heather Wilson,Republican,1998,Incumbent re-elected.," Heather Wilson (Republican) 54.4%
Richard Romero (Democratic) 45.6%"
New Mexico 2,Steve Pearce,Republican,2002,Incumbent re-elected.," Steve Pearce (Republican) 60.2%
Gary King (Democratic) 39.8%"
New Mexico 3,Tom Udall,Democratic,1998,Incumbent re-elected.," Tom Udall (Democratic) 68.7%
Gregory Tucker (Republican) 31.3%"
"New York
",,,,,
,,,,,
"

New York districts in these elections
Main article: ",,,,,
2004 United States House of Representatives elections in New York,,,,,
"
See also: ",,,,,
List of United States representatives from New York,,,,,
"
",,,,,
District,Incumbent,Party,"First
elected",Result,Candidates
New York 1,Tim Bishop,Democratic,2002,Incumbent re-elected.," Tim Bishop (Democratic) 56.2%
Bill Manger (Republican) 43.8%"
New York 2,Steve Israel,Democratic,2000,Incumbent re-elected.," Steve Israel (Democratic) 66.6%
Richard A. Hoffman (Republican) 33.4%"
New York 3,Peter King,Republican,1992,Incumbent re-elected.," Peter King (Republican) 63.0%
Blair Mathies (Democratic) 37.0%"
New York 4,Carolyn McCarthy,Democratic,1996,Incumbent re-elected.," Carolyn McCarthy (Democratic) 63.0%
James Garner (Republican) 37.0%"
New York 5,Gary Ackerman,Democratic,1983 (Special),Incumbent re-elected.," Gary Ackerman (Democratic) 71.3%
Stephen Graves (Republican) 27.9%
Jun Policarpio (Independent) 0.7%"
New York 6,Gregory Meeks,Democratic,1998,Incumbent re-elected., Gregory Meeks (Democratic) Unopposed
New York 7,Joe Crowley,Democratic,1998,Incumbent re-elected.," Joe Crowley (Democratic) 80.9%
Joseph Cinquemain (Republican) 19.1%"
New York 8,Jerry Nadler,Democratic,1992,Incumbent re-elected.," Jerry Nadler (Democratic) 80.5%
Peter Hort (Republican) 19.5%"
New York 9,Anthony Weiner,Democratic,1998,Incumbent re-elected.," Anthony Weiner (Democratic) 71.3%
Gerald J. Cronin (Republican) 28.7%"
New York 10,Edolphus Towns,Democratic,1982,Incumbent re-elected.," Edolphus Towns (Democratic) 91.5%
Harvey R. Clarke (Republican) 7.5%
Mariana Blume (Conservative) 1.0%"
New York 11,Major Owens,Democratic,1982,Incumbent re-elected.," Major Owens (Democratic) 94.0%
Sol Lieberman (Conservative) 3.1%
Lorraine Stevens (Independent) 2.9%"
New York 12,Nydia Velazquez,Democratic,1992,Incumbent re-elected.," Nydia Velazquez (Democratic) 86.3%
Paul A. Rodriguez (Republican) 13.7%"
New York 13,Vito Fossella,Republican,1997 (Special),Incumbent re-elected.," Vito Fossella (Republican) 59.0%
Frank Barbaro (Democratic) 41.0%"
New York 14,Carolyn Maloney,Democratic,1992,Incumbent re-elected.," Carolyn Maloney (Democratic) 81.1%
Anton Srdanovic (Republican) 18.9%"
New York 15,Charles Rangel,Democratic,1970,Incumbent re-elected.," Charles Rangel (Democratic) 91.1%
Kenneth P. Jefferson Jr. (Republican) 7.0%
Jessie A. Fields (Independent) 1.9%"
New York 16,José E. Serrano,Democratic,1990,Incumbent re-elected.," José E. Serrano (Democratic) 95.2%
Ali Mohamed (Republican) 4.8%"
New York 17,Eliot Engel,Democratic,1988,Incumbent re-elected.," Eliot Engel (Democratic) 76.1%
Matthew I. Brennan (Republican) 22.0%
Kevin Brawley (Conservative) 1.9%"
New York 18,Nita Lowey,Democratic,1988,Incumbent re-elected.," Nita Lowey (Democratic) 69.8%
Richard A. Hoffman (Republican) 30.2%"
New York 19,Sue W. Kelly,Republican,1994,Incumbent re-elected.," Sue W. Kelly (Republican) 66.7%
Michael Jalamin (Democratic) 33.3%"
New York 20,John E. Sweeney,Republican,1998,Incumbent re-elected.," John E. Sweeney (Republican) 65.8%
Doris F. Kelly (Democratic) 33.7%
Morris N. Guller (Independent) 0.5%"
New York 21,Michael R. McNulty,Democratic,1988,Incumbent re-elected.," Michael R. McNulty (Democratic) 70.8%
Warren Redlich (Republican) 29.2%"
New York 22,Maurice Hinchey,Democratic,1992,Incumbent re-elected.," Maurice Hinchey (Democratic) 67.2%
William Brenner (Republican) 32.8%"
New York 23,John M. McHugh,Republican,1992,Incumbent re-elected.," John M. McHugh (Republican) 70.7%
Robert J. Johnson (Democratic) 29.3%"
New York 24,Sherwood Boehlert,Republican,1982,Incumbent re-elected.," Sherwood Boehlert (Republican) 56.9%
Jeff Miller (Democratic) 33.9%
David L. Walrath (Conservative) 9.2%"
New York 25,James T. Walsh,Republican,1988,Incumbent re-elected.," James T. Walsh (Republican) 90.4%
Christina Rosetti (Independent) 9.6%"
New York 26,Thomas M. Reynolds,Republican,1998,Incumbent re-elected.," Thomas M. Reynolds (Republican) 55.6%
Jack Davis (Democratic) 44.4%"
New York 27,Jack Quinn,Republican,1992,"Incumbent retired.
New member elected.
Democratic gain."," Brian Higgins (Democratic) 50.7%
Nancy Naples (Republican) 49.3%"
New York 28,Louise Slaughter,Democratic,1986,Incumbent re-elected.," Louise Slaughter (Democratic) 72.6%
Mike Laba (Republican) 24.8%
Francina J. Cartonia (Independent) 2.6%"
New York 29,Amo Houghton,Republican,1986,"Incumbent retired.
New member elected.
Republican hold."," Randy Kuhl (Republican) 50.7%
Samara Barend (Democratic) 40.8%
Mark Assini (Conservative) 6.4%
John Ciampioli (Independent) 2.1%"
North Carolina 1,G. K. Butterfield,Democratic,2004,Incumbent re-elected.," G. K. Butterfield (Democratic) 64.0%
Greg Dority (Republican) 36.0%"
North Carolina 2,Bob Etheridge,Democratic,1996,Incumbent re-elected.," Bob Etheridge (Democratic) 62.2%
Billy Creech (Republican) 37.8%"
North Carolina 3,Walter B. Jones Jr.,Republican,1994,Incumbent re-elected.," Walter B. Jones Jr. (Republican) 70.7%
Roger Eaton (Democratic) 29.3%"
North Carolina 4,David Price,Democratic,"1986-94
1996",Incumbent re-elected.," David Price (Democratic) 64.1%
Todd Batchelor (Republican) 35.9%"
North Carolina 5,Richard Burr,Republican,1994,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Virginia Foxx (Republican) 58.8%
Jim Harrell Jr. (Democratic) 41.2%"
North Carolina 6,Howard Coble,Republican,1984,Incumbent re-elected.," Howard Coble (Republican) 73.1%
William Jordan (Democratic) 26.9%"
North Carolina 7,Mike McIntyre,Democratic,1996,Incumbent re-elected.," Mike McIntyre (Democratic) 73.2%
Ken Plonk (Republican) 26.8%"
North Carolina 8,Robin Hayes,Republican,1998,Incumbent re-elected.," Robin Hayes (Republican) 55.5%
Beth Troutman (Democratic) 44.5%"
North Carolina 9,Sue Myrick,Republican,1994,Incumbent re-elected.," Sue Myrick (Republican) 70.2%
Jack Flynn (Democratic) 29.8%"
North Carolina 10,Cass Ballenger,Republican,1986,"Incumbent retired.
New member elected.
Republican hold."," Patrick McHenry (Republican) 64.1%
Anne Fischer (Democratic) 35.9%"
North Carolina 11,Charles H. Taylor,Republican,1990,Incumbent re-elected.," Charles H. Taylor (Republican) 54.9%
Patsy Keever (Democratic) 45.1%"
North Carolina 12,Mel Watt,Democratic,1992,Incumbent re-elected.," Mel Watt (Democratic) 66.8%
Ada Fisher (Republican) 33.2%"
North Carolina 13,Brad Miller,Democratic,2002,Incumbent re-elected.," Brad Miller (Democratic) 58.8%
Virginia Johnson (Republican) 41.2%"
North Dakota at-large,Earl Pomeroy,Democratic-NPL,1992,Incumbent re-elected.," Earl Pomeroy (D-NPL) 59.6%
Duane Sand (Republican) 40.4%"
Ohio 1,Steve Chabot,Republican,1994,Incumbent re-elected.," Steve Chabot (Republican) 59.8%
Greg Harris (Democratic) 40.1%"
Ohio 2,Robert J. Portman,Republican,1993 (Special),Incumbent re-elected.," Robert J. Portman (Republican) 71.7%
Charles W. Sanders (Democratic) 28.3%"
Ohio 3,Michael R. Turner,Republican,2002,Incumbent re-elected.," Michael R. Turner (Republican) 62.3%
L. Jane Mitakides (Democratic) 37.7%"
Ohio 4,Michael G. Oxley,Republican,1981 (Special),Incumbent re-elected.," Michael G. Oxley (Republican) 58.6%
Ben Konop (Democratic) 41.4%"
Ohio 5,Paul E. Gillmor,Republican,1988,Incumbent re-elected.," Paul E. Gillmor (Republican) 67.1%
Robin Weirauch (Democratic) 32.9%"
Ohio 6,Ted Strickland,Democratic,1992,Incumbent re-elected., Ted Strickland (Democratic) Unopposed
Ohio 7,David L. Hobson,Republican,1990,Incumbent re-elected.," David L. Hobson (Republican) 65.0%
Kara Anastasio (Democratic) 35.0%"
Ohio 8,John A. Boehner,Republican,1990,Incumbent re-elected.," John A. Boehner (Republican) 69.0%
Jeff Hardenbrook (Democratic) 31.0%"
Ohio 9,Marcia C. Kaptur,Democratic,1982,Incumbent re-elected.," Marcia C. Kaptur (Democratic) 68.1%
Larry A. Kaczala (Republican) 31.9%"
Ohio 10,Dennis J. Kucinich,Democratic,1996,Incumbent re-elected.," Dennis J. Kucinich (Democratic) 60.0%
Edward F. Herman (Republican) 33.6%
Barbara Anne Ferris (Independent) 6.4%"
Ohio 11,Stephanie Tubbs Jones,Democratic,1998,Incumbent re-elected., Stephanie Tubbs Jones (Democratic) Unopposed
Ohio 12,Patrick J. Tiberi,Republican,2000,Incumbent re-elected.," Patrick J. Tiberi (Republican) 62.0%
Edward S. Brown (Democratic) 38.0%"
Ohio 13,Sherrod Brown,Democratic,1992,Incumbent re-elected.," Sherrod Brown (Democratic) 67.4%
Robert Lucas (Republican) 32.6%"
Ohio 14,Steven C. LaTourette,Republican,1994,Incumbent re-elected.," Steven C. LaTourette (Republican) 62.8%
Capri S. Cafaro (Democratic) 37.2%"
Ohio 15,Deborah D. Pryce,Republican,1992,Incumbent re-elected.," Deborah D. Pryce (Republican) 60.0%
Mark P. Brown (Democratic) 40.0%"
Ohio 16,Ralph S. Regula,Republican,1972,Incumbent re-elected.," Ralph S. Regula (Republican) 66.6%
Jeff Seemann (Democratic) 33.4%"
Ohio 17,Timothy J. Ryan,Democratic,2002,Incumbent re-elected.," Timothy J. Ryan (Democratic) 77.2%
Frank V. Cusimano (Republican) 22.8%"
Ohio 18,Robert W. Ney,Republican,1994,Incumbent re-elected.," Robert W. Ney (Republican) 66.2%
Brian R. Thomas (Democratic) 33.8%"
Oklahoma 1,John Sullivan,Republican,2002,Incumbent re-elected.," John Sullivan (Republican) 60.2%
Doug Dodd (Democratic) 37.5%
John Krymski (Independent) 2.3%"
Oklahoma 2,Brad Carson,Democratic,2000,"Incumbent retired to run for U.S. Senator.
New member elected.
Democratic hold."," Dan Boren (Democratic) 65.9%
Wayland Smalley (Republican) 34.1%"
Oklahoma 3,Frank Lucas,Republican,1994,Incumbent re-elected.," Frank Lucas (Republican) 82.2%
Gregory Wilson (Independent) 17.8%"
Oklahoma 4,Tom Cole,Republican,2002,Incumbent re-elected.," Tom Cole (Republican) 77.8%
Charlene K. Bradshaw (Independent) 22.2%"
Oklahoma 5,Ernest Istook,Republican,1992,Incumbent re-elected.," Ernest Istook (Republican) 66.1%
Bert Smith (Democratic) 33.9%"
Oregon 1,David Wu,Democratic,1998,Incumbent re-elected.," David Wu (Democratic) 57.8%
Goli Ameri (Republican) 38.3%
Dean Wolf (Independent) 3.9%"
